Date,BTC-USD_weight,DIA_weight,ETH-USD_weight,GLD_weight,QQQ_weight,SPY_weight,TLT_weight,VIX_weight
2025-02-19,0.055347808224384364,0.20886949135665467,0.042060409595416584,0.1626501969849864,0.13721114480866278,0.1961420122049241,0.18282937778035036,0.01488955904462075
2025-02-20,0.05533637026494016,0.2088001185858292,0.04204291837834083,0.1629256181957831,0.13716154832611283,0.19607110672880376,0.18277755849741134,0.014884761022778846
2025-02-21,0.05532538935346405,0.2086104939482471,0.042026847438033255,0.16317831780986136,0.13716838622547758,0.19607220066910377,0.1827381589499828,0.014880205605830163
2025-02-24,0.05536436674063787,0.20821861933603122,0.04205841339747706,0.16360330694063333,0.13713530357263692,0.19590877111847985,0.18282796363836656,0.014883255255737277
2025-02-25,0.05536002634587755,0.20792823584869322,0.041956500530243274,0.164028369272416,0.13708598532213842,0.19579747182515633,0.18295343654656568,0.014889974308909657
2025-02-26,0.055342437066479316,0.2077151666782254,0.041871070127556774,0.16441304811169125,0.13710672538839444,0.1957807676065648,0.18286938498261887,0.014901400038469317
2025-02-27,0.05532139118639704,0.20756108072463597,0.041761953138917014,0.16477853840648335,0.1371159504402538,0.19581748753610462,0.1827321146024274,0.014911483964780743
2025-02-28,0.055370142695763215,0.20757124649274714,0.04170551611570101,0.16504784579505977,0.13695039454697458,0.19569775149145294,0.18272884370953682,0.014928259152764497
2025-03-03,0.055545750756313614,0.20745487112203495,0.04175420992473377,0.16536124324558052,0.13679804761282302,0.1954446336116395,0.1826898871940568,0.01495135653281781
2025-03-04,0.05554844117958058,0.20733683202458267,0.04161342022102526,0.16580385291635558,0.13669500213292257,0.19514352940059637,0.1828741661723821,0.014984755952554829
2025-03-05,0.05558262996108419,0.20707598634451635,0.04151019287266342,0.16627594193648956,0.13668309438878243,0.19482414552109095,0.18301914312721757,0.015028865848155507
2025-03-06,0.05558651758831223,0.20673402473359784,0.041409915935534385,0.16677385655103916,0.13667700687548995,0.19453212694881877,0.18321808966362935,0.015068461703578374
