rebalance_date,turnover,transaction_cost,BTC-USD,DIA,ETH-USD,GLD,QQQ,SPY,TLT,VIX
2024-11-11,0.9429312199257872,0.0009429312199257873,3.5859139822010805e-18,0.278551537414199,1.3519492871125888e-17,0.14599090988900357,0.0,0.42192316265969104,0.10042910835857648,0.05310528167852995
2024-12-10,0.4215440228122527,0.0004215440228122527,0.0,0.13740156375395718,9.8975799886665e-19,0.07636887214311909,4.2195793300420226e-17,0.6112226072520474,0.1111838175377478,0.06382313931312866
2025-01-10,0.5874731146223597,0.0005874731146223597,0.0,0.3338285774788662,1.6983010592448722e-19,0.15201920576417013,0.0,0.34196872687462565,0.13284302750296756,0.03934046237937057
2025-02-10,0.3060033151908781,0.0003060033151908781,4.278363416581471e-18,0.23988695679871516,0.0,0.15645386001125258,0.0,0.4881917938138501,0.07378299058767954,0.041684398788502726
2025-03-11,0.46813241361265334,0.00046813241361265336,0.0,0.2664342511325744,0.012183079455326148,0.262001458186387,0.0,0.2556651837995234,0.16357122542968644,0.04014480199650278
2025-04-08,0.8267466624861424,0.0008267466624861424,0.015307866133467376,2.4401960419212325e-18,0.002068024551572941,0.18063609288069718,0.10132064493525611,0.5115881079993098,0.10811256552863256,0.08096669797106398
2025-05-07,1.1442538692048592,0.0011442538692048592,0.03925471946796288,0.3633776309227434,4.391018798566293e-18,0.17909460773266028,0.06148346622558796,5.788792568125339e-17,0.29291501587382335,0.06387455977722212
2025-06-05,0.1426259323932385,0.0001426259323932385,0.03268332948738389,0.41191143101604194,0.0,0.12203622972453748,0.05380026801767049,3.0272957534868694e-18,0.3121366814435846,0.06743206031078151
2025-07-07,0.30212811561930497,0.00030212811561930496,0.07789507804399014,0.42317999878307067,2.4936649967166602e-18,0.0247724399325556,0.0,5.773376568485311e-18,0.3901643247979709,0.08398815844241278
2025-08-04,1.3525237465068543,0.0013525237465068544,0.05682510879250918,0.034216668402498755,0.0,0.07113564674513786,1.7718235190665454e-17,0.6298986664408448,0.1454518848651416,0.06247202475386783
2025-09-02,0.3970358566331687,0.0003970358566331687,7.743998720272441e-18,1.9591660311755153e-17,0.0,0.04366517023548527,2.3231678523462102e-17,0.8237216683775618,0.0654462102532177,0.06716695113373515
2025-09-30,0.2373211767631759,0.0002373211767631759,0.0,0.06840465536883417,0.0,0.0,1.0421893383016911e-17,0.7503551556139292,0.11570214326597156,0.06553804575126515
2025-10-28,0.4236422650638403,0.0004236422650638403,9.84175522348652e-18,0.17497177723800722,0.0,3.000336282962541e-18,0.0,0.5551609700802026,0.22095615392871867,0.048911098753071584
2025-11-25,0.2836284182511449,0.0002836284182511449,2.9828265237560186e-18,0.28514964265382076,0.0015191374089425919,0.0006497619234014774,0.0,0.41427298203403873,0.2504235983061335,0.04798487767366298
2025-12-24,0.14838250554830373,0.00014838250554830373,0.0,0.22022862560771023,1.5263533709522492e-18,0.01458024841973128,5.8106460181645e-17,0.47105450186061887,0.2426724999870348,0.05146412412490492
2026-01-26,0.11729143570904164,0.00011729143570904165,3.066259269060567e-19,0.182000448063742,5.570088661144279e-18,0.012942512946241077,0.0,0.5143035731451321,0.22389269514997243,0.06686077069491247
2026-02-24,0.34895149013888865,0.00034895149013888864,5.022905377218001e-18,0.037133255264853164,0.0,0.00041488959713140107,0.0,0.6887793182145764,0.21219102842003076,0.061481508503408264
2026-03-24,0.07736738437706209,7.736738437706209e-05,0.0,2.4474169977965754e-17,1.4789195259060084e-18,1.8821072087990554e-18,0.0,0.7274630104031075,0.21197630558910233,0.06056068400779022
